Timestamp,Consumption_kWh,Hour,DayOfWeek,Month,IsWeekend,Season,Lagged_1h,Lagged_24h,Rolling_7d_Mean,Rolling_7d_Std
2024-01-01 00:00:00,1024.8357076505617,0,0,1,False,Winter,,,,
2024-01-01 01:00:00,1019.1121411587349,1,0,1,False,Winter,1024.8357076505617,,,
2024-01-01 02:00:00,1082.6713302453184,2,0,1,False,Winter,1019.1121411587349,,,
2024-01-01 03:00:00,1147.2925257649815,3,0,1,False,Winter,1082.6713302453184,,,
2024-01-01 04:00:00,1075.4686777324437,4,0,1,False,Winter,1147.2925257649815,,,
2024-01-01 05:00:00,1085.6029918406555,5,0,1,False,Winter,1075.4686777324437,,,
2024-01-01 06:00:00,1179.8213484346184,6,0,1,False,Winter,1085.6029918406555,,,
2024-01-01 07:00:00,1135.9684769030428,7,0,1,False,Winter,1179.8213484346184,,,
2024-01-01 08:00:00,1064.2764285388294,8,0,1,False,Winter,1135.9684769030428,,,
2024-01-01 09:00:00,1099.1297368053306,9,0,1,False,Winter,1064.2764285388294,,,
2024-01-01 10:00:00,1028.2636202528024,10,0,1,False,Winter,1099.1297368053306,,,
2024-01-01 11:00:00,1004.1733693732175,11,0,1,False,Winter,1028.2636202528024,,,
2024-01-01 12:00:00,1013.8195129560395,12,0,1,False,Winter,1004.1733693732175,,,
2024-01-01 13:00:00,880.3189285852643,13,0,1,False,Winter,1013.8195129560395,,,
2024-01-01 14:00:00,865.7623986940349,14,0,1,False,Winter,880.3189285852643,,,
2024-01-01 15:00:00,903.3266796970788,15,0,1,False,Winter,865.7623986940349,,,
2024-01-01 16:00:00,865.051080733732,16,0,1,False,Winter,903.3266796970788,,,
2024-01-01 17:00:00,921.558402800092,17,0,1,False,Winter,865.051080733732,,,
2024-01-01 18:00:00,857.1808554389412,18,0,1,False,Winter,921.558402800092,,,
2024-01-01 19:00:00,835.5177306067312,19,0,1,False,Winter,857.1808554389412,,,
2024-01-01 20:00:00,989.5488340552777,20,0,1,False,Winter,835.5177306067312,,,
2024-01-01 21:00:00,921.0128790539512,21,0,1,False,Winter,989.5488340552777,,,
2024-01-01 22:00:00,956.5322170908731,22,0,1,False,Winter,921.0128790539512,,,
2024-01-01 23:00:00,906.1799260715602,23,0,1,False,Winter,956.5322170908731,,,
2024-01-02 00:00:00,976.2235350049078,0,1,1,False,Winter,906.1799260715602,1024.8357076505617,,
2024-01-02 01:00:00,1035.014134794478,1,1,1,False,Winter,976.2235350049078,1019.1121411587349,,
2024-01-02 02:00:00,996.179849650278,2,1,1,False,Winter,1035.014134794478,1082.6713302453184,,
2024-01-02 03:00:00,1093.368533361299,3,1,1,False,Winter,996.179849650278,1147.2925257649815,,
2024-01-02 04:00:00,1060.5869840193525,4,1,1,False,Winter,1093.368533361299,1075.4686777324437,,
2024-01-02 05:00:00,1086.1676950213148,5,1,1,False,Winter,1060.5869840193525,1085.6029918406555,,
2024-01-02 06:00:00,1074.2178888757746,6,1,1,False,Winter,1086.1676950213148,1179.8213484346184,,
2024-01-02 07:00:00,1193.6531287329371,7,1,1,False,Winter,1074.2178888757746,1135.9684769030428,,
2024-01-02 08:00:00,1090.5177311238533,8,1,1,False,Winter,1193.6531287329371,1064.2764285388294,,
2024-01-02 09:00:00,1022.5585963954908,9,1,1,False,Winter,1090.5177311238533,1099.1297368053306,,
2024-01-02 10:00:00,1096.004120636938,10,1,1,False,Winter,1022.5585963954908,1028.2636202528024,,
2024-01-02 11:00:00,969.8600048416707,11,1,1,False,Winter,1096.004120636938,1004.1733693732175,,
2024-01-02 12:00:00,1015.6068677956644,12,1,1,False,Winter,969.8600048416707,1013.8195129560395,,
2024-01-02 13:00:00,881.4416799001325,13,1,1,False,Winter,1015.6068677956644,880.3189285852643,,
2024-01-02 14:00:00,889.0411879881133,14,1,1,False,Winter,881.4416799001325,865.7623986940349,,
2024-01-02 15:00:00,944.726271132439,15,1,1,False,Winter,889.0411879881133,903.3266796970788,,
2024-01-02 16:00:00,956.0580702257364,16,1,1,False,Winter,944.726271132439,865.051080733732,,
2024-01-02 17:00:00,917.8565042301725,17,1,1,False,Winter,956.0580702257364,921.558402800092,,
2024-01-02 18:00:00,900.2416468499696,18,1,1,False,Winter,917.8565042301725,857.1808554389412,,
2024-01-02 19:00:00,894.5196786316736,19,1,1,False,Winter,900.2416468499696,835.5177306067312,,
2024-01-02 20:00:00,845.7821880409892,20,1,1,False,Winter,894.5196786316736,989.5488340552777,,
2024-01-02 21:00:00,899.7513180505064,21,1,1,False,Winter,845.7821880409892,921.0128790539512,,
2024-01-02 22:00:00,933.5656433715689,22,1,1,False,Winter,899.7513180505064,956.5322170908731,,
2024-01-02 23:00:00,1033.7151606567227,23,1,1,False,Winter,933.5656433715689,906.1799260715602,,
2024-01-03 00:00:00,1024.0652368029723,0,2,1,False,Winter,1033.7151606567227,976.2235350049078,,
2024-01-03 01:00:00,944.7575839934772,1,2,1,False,Winter,1024.0652368029723,1035.014134794478,,
2024-01-03 02:00:00,1073.3752470324514,2,2,1,False,Winter,944.7575839934772,996.179849650278,,
2024-01-03 03:00:00,1058.770970282683,3,2,1,False,Winter,1073.3752470324514,1093.368533361299,,
2024-01-03 04:00:00,1060.2142004071547,4,2,1,False,Winter,1058.770970282683,1060.5869840193525,,
2024-01-03 05:00:00,1134.777507137405,5,2,1,False,Winter,1060.2142004071547,1086.1676950213148,,
2024-01-03 06:00:00,1159.2944323032325,6,2,1,False,Winter,1134.777507137405,1074.2178888757746,,
2024-01-03 07:00:00,1151.0443868909197,7,2,1,False,Winter,1159.2944323032325,1193.6531287329371,,
2024-01-03 08:00:00,1052.6728005933273,8,2,1,False,Winter,1151.0443868909197,1090.5177311238533,,
2024-01-03 09:00:00,1063.4245296402244,9,2,1,False,Winter,1052.6728005933273,1022.5585963954908,,
2024-01-03 10:00:00,1074.8809716169865,10,2,1,False,Winter,1063.4245296402244,1096.004120636938,,
2024-01-03 11:00:00,1083.120286366682,11,2,1,False,Winter,1074.8809716169865,969.8600048416707,,
2024-01-03 12:00:00,984.6457347086417,12,2,1,False,Winter,1083.120286366682,1015.6068677956644,,
2024-01-03 13:00:00,973.5829099314149,13,2,1,False,Winter,984.6457347086417,881.4416799001325,,
2024-01-03 14:00:00,903.5743267481348,14,2,1,False,Winter,973.5829099314149,889.0411879881133,,
2024-01-03 15:00:00,878.5133737252247,15,2,1,False,Winter,903.5743267481348,944.726271132439,,
2024-01-03 16:00:00,963.2014367408285,16,2,1,False,Winter,878.5133737252247,956.0580702257364,,
2024-01-03 17:00:00,980.5404030292949,17,2,1,False,Winter,963.2014367408285,917.8565042301725,,
2024-01-03 18:00:00,905.8637715854697,18,2,1,False,Winter,980.5404030292949,900.2416468499696,,
2024-01-03 19:00:00,963.1916284960155,19,2,1,False,Winter,905.8637715854697,894.5196786316736,,
2024-01-03 20:00:00,941.2301107273865,20,2,1,False,Winter,963.1916284960155,845.7821880409892,,
2024-01-03 21:00:00,906.9274626112439,21,2,1,False,Winter,941.2301107273865,899.7513180505064,,
2024-01-03 22:00:00,978.1071822521501,22,2,1,False,Winter,906.9274626112439,933.5656433715689,,
2024-01-03 23:00:00,1061.2005941425098,23,2,1,False,Winter,978.1071822521501,1033.7151606567227,,
2024-01-04 00:00:00,1008.532631489153,0,3,1,False,Winter,1061.2005941425098,1024.0652368029723,,
2024-01-04 01:00:00,1114.581278549541,1,3,1,False,Winter,1008.532631489153,944.7575839934772,,
2024-01-04 02:00:00,929.6231884630897,2,3,1,False,Winter,1114.581278549541,1073.3752470324514,,
2024-01-04 03:00:00,1122.5594939653336,3,3,1,False,Winter,929.6231884630897,1058.770970282683,,
2024-01-04 04:00:00,1101.8518258462682,4,3,1,False,Winter,1122.5594939653336,1060.2142004071547,,
2024-01-04 05:00:00,1092.6823829834934,5,3,1,False,Winter,1101.8518258462682,1134.777507137405,,
2024-01-04 06:00:00,1115.7714368468958,6,3,1,False,Winter,1092.6823829834934,1159.2944323032325,,
2024-01-04 07:00:00,1008.5407593078141,7,3,1,False,Winter,1115.7714368468958,1151.0443868909197,,
2024-01-04 08:00:00,1087.0887869572584,8,3,1,False,Winter,1008.5407593078141,1052.6728005933273,,
2024-01-04 09:00:00,1100.1793603258982,9,3,1,False,Winter,1087.0887869572584,1063.4245296402244,,
2024-01-04 10:00:00,1135.6509625552474,10,3,1,False,Winter,1100.1793603258982,1074.8809716169865,,
2024-01-04 11:00:00,1011.867854553132,11,3,1,False,Winter,1135.6509625552474,1083.120286366682,,
2024-01-04 12:00:00,971.6179753284993,12,3,1,False,Winter,1011.867854553132,984.6457347086417,,
2024-01-04 13:00:00,961.2160871048127,13,3,1,False,Winter,971.6179753284993,973.5829099314149,,
2024-01-04 14:00:00,1008.0991317314009,14,3,1,False,Winter,961.2160871048127,903.5743267481348,,
2024-01-04 15:00:00,958.1990789198431,15,3,1,False,Winter,1008.0991317314009,878.5133737252247,,
2024-01-04 16:00:00,899.524820281487,16,3,1,False,Winter,958.1990789198431,963.2014367408285,,
